densidad,idx,final_best,found_at,archivo
0.6,26,11,0.005554,new_3000_dataset/erdos_n3000_p0c0.6_26.graph
0.6,27,11,0.026600,new_3000_dataset/erdos_n3000_p0c0.6_27.graph
0.6,28,12,0.528957,new_3000_dataset/erdos_n3000_p0c0.6_28.graph
0.6,29,12,0.014699,new_3000_dataset/erdos_n3000_p0c0.6_29.graph
0.6,30,12,3.142323,new_3000_dataset/erdos_n3000_p0c0.6_30.graph
0.7,1,9,0.094244,new_3000_dataset/erdos_n3000_p0c0.7_1.graph
0.7,2,10,1.022756,new_3000_dataset/erdos_n3000_p0c0.7_2.graph
0.7,3,9,0.428173,new_3000_dataset/erdos_n3000_p0c0.7_3.graph
0.7,4,9,0.324330,new_3000_dataset/erdos_n3000_p0c0.7_4.graph
0.7,5,10,0.313074,new_3000_dataset/erdos_n3000_p0c0.7_5.graph
0.7,6,9,0.054697,new_3000_dataset/erdos_n3000_p0c0.7_6.graph
0.7,7,9,0.632254,new_3000_dataset/erdos_n3000_p0c0.7_7.graph
0.7,8,9,0.007106,new_3000_dataset/erdos_n3000_p0c0.7_8.graph
0.7,9,9,0.018676,new_3000_dataset/erdos_n3000_p0c0.7_9.graph
0.7,10,9,0.538660,new_3000_dataset/erdos_n3000_p0c0.7_10.graph
0.7,11,9,0.579050,new_3000_dataset/erdos_n3000_p0c0.7_11.graph
0.7,12,9,0.158835,new_3000_dataset/erdos_n3000_p0c0.7_12.graph
0.7,13,9,0.329124,new_3000_dataset/erdos_n3000_p0c0.7_13.graph
0.7,14,9,0.003905,new_3000_dataset/erdos_n3000_p0c0.7_14.graph
0.7,15,9,0.006831,new_3000_dataset/erdos_n3000_p0c0.7_15.graph
0.7,16,9,0.161006,new_3000_dataset/erdos_n3000_p0c0.7_16.graph
0.7,17,9,0.077084,new_3000_dataset/erdos_n3000_p0c0.7_17.graph
0.7,18,9,1.528164,new_3000_dataset/erdos_n3000_p0c0.7_18.graph
0.7,19,9,0.048457,new_3000_dataset/erdos_n3000_p0c0.7_19.graph
0.7,20,9,0.036220,new_3000_dataset/erdos_n3000_p0c0.7_20.graph
0.7,21,9,0.014761,new_3000_dataset/erdos_n3000_p0c0.7_21.graph
0.7,22,9,0.524675,new_3000_dataset/erdos_n3000_p0c0.7_22.graph
0.7,23,9,0.023148,new_3000_dataset/erdos_n3000_p0c0.7_23.graph
0.7,24,9,0.015587,new_3000_dataset/erdos_n3000_p0c0.7_24.graph
0.7,25,9,0.059857,new_3000_dataset/erdos_n3000_p0c0.7_25.graph
0.7,26,9,0.033454,new_3000_dataset/erdos_n3000_p0c0.7_26.graph
0.7,27,9,0.022338,new_3000_dataset/erdos_n3000_p0c0.7_27.graph
0.7,28,9,0.072973,new_3000_dataset/erdos_n3000_p0c0.7_28.graph
0.7,29,9,0.146764,new_3000_dataset/erdos_n3000_p0c0.7_29.graph
0.7,30,9,0.425198,new_3000_dataset/erdos_n3000_p0c0.7_30.graph
0.8,1,7,0.007966,new_3000_dataset/erdos_n3000_p0c0.8_1.graph
0.8,2,7,0.005059,new_3000_dataset/erdos_n3000_p0c0.8_2.graph
0.8,3,8,4.733193,new_3000_dataset/erdos_n3000_p0c0.8_3.graph
0.8,4,7,0.005200,new_3000_dataset/erdos_n3000_p0c0.8_4.graph
0.8,5,7,0.044369,new_3000_dataset/erdos_n3000_p0c0.8_5.graph
0.8,6,7,0.040005,new_3000_dataset/erdos_n3000_p0c0.8_6.graph
0.8,7,7,0.063541,new_3000_dataset/erdos_n3000_p0c0.8_7.graph
0.8,8,7,0.079826,new_3000_dataset/erdos_n3000_p0c0.8_8.graph
0.8,9,7,0.017116,new_3000_dataset/erdos_n3000_p0c0.8_9.graph
0.8,10,7,0.011069,new_3000_dataset/erdos_n3000_p0c0.8_10.graph
0.8,11,7,0.016555,new_3000_dataset/erdos_n3000_p0c0.8_11.graph
0.8,12,7,0.010586,new_3000_dataset/erdos_n3000_p0c0.8_12.graph
0.8,13,7,0.071031,new_3000_dataset/erdos_n3000_p0c0.8_13.graph
0.8,14,7,0.014891,new_3000_dataset/erdos_n3000_p0c0.8_14.graph
0.8,15,8,0.554305,new_3000_dataset/erdos_n3000_p0c0.8_15.graph
0.8,16,7,0.060101,new_3000_dataset/erdos_n3000_p0c0.8_16.graph
0.8,17,7,0.036238,new_3000_dataset/erdos_n3000_p0c0.8_17.graph
0.8,18,7,0.146613,new_3000_dataset/erdos_n3000_p0c0.8_18.graph
0.8,19,8,1.635985,new_3000_dataset/erdos_n3000_p0c0.8_19.graph
0.8,20,7,0.842033,new_3000_dataset/erdos_n3000_p0c0.8_20.graph
0.8,21,7,0.005273,new_3000_dataset/erdos_n3000_p0c0.8_21.graph
0.8,22,7,0.005195,new_3000_dataset/erdos_n3000_p0c0.8_22.graph
0.8,23,7,0.091624,new_3000_dataset/erdos_n3000_p0c0.8_23.graph
0.8,24,7,0.013369,new_3000_dataset/erdos_n3000_p0c0.8_24.graph
0.8,25,7,0.069248,new_3000_dataset/erdos_n3000_p0c0.8_25.graph
0.8,26,7,0.005130,new_3000_dataset/erdos_n3000_p0c0.8_26.graph
0.8,27,7,0.020557,new_3000_dataset/erdos_n3000_p0c0.8_27.graph
0.8,28,7,0.018433,new_3000_dataset/erdos_n3000_p0c0.8_28.graph
0.8,29,7,0.055931,new_3000_dataset/erdos_n3000_p0c0.8_29.graph
0.8,30,7,0.085635,new_3000_dataset/erdos_n3000_p0c0.8_30.graph
0.9,1,6,0.388263,new_3000_dataset/erdos_n3000_p0c0.9_1.graph
0.9,2,5,0.005364,new_3000_dataset/erdos_n3000_p0c0.9_2.graph
0.9,3,5,0.013747,new_3000_dataset/erdos_n3000_p0c0.9_3.graph
0.9,4,6,0.049453,new_3000_dataset/erdos_n3000_p0c0.9_4.graph
0.9,5,6,4.010994,new_3000_dataset/erdos_n3000_p0c0.9_5.graph
0.9,6,5,0.005267,new_3000_dataset/erdos_n3000_p0c0.9_6.graph
0.9,7,5,0.005133,new_3000_dataset/erdos_n3000_p0c0.9_7.graph
0.9,8,6,0.993955,new_3000_dataset/erdos_n3000_p0c0.9_8.graph
0.9,9,5,0.009113,new_3000_dataset/erdos_n3000_p0c0.9_9.graph
0.9,10,6,0.153915,new_3000_dataset/erdos_n3000_p0c0.9_10.graph
0.9,11,6,0.171488,new_3000_dataset/erdos_n3000_p0c0.9_11.graph
0.9,12,5,0.011312,new_3000_dataset/erdos_n3000_p0c0.9_12.graph
0.9,13,6,0.728365,new_3000_dataset/erdos_n3000_p0c0.9_13.graph
0.9,14,6,0.363178,new_3000_dataset/erdos_n3000_p0c0.9_14.graph
0.9,15,6,0.086601,new_3000_dataset/erdos_n3000_p0c0.9_15.graph
0.9,16,6,0.104699,new_3000_dataset/erdos_n3000_p0c0.9_16.graph
0.9,17,5,0.012552,new_3000_dataset/erdos_n3000_p0c0.9_17.graph
0.9,18,5,0.004794,new_3000_dataset/erdos_n3000_p0c0.9_18.graph
0.9,19,5,0.005432,new_3000_dataset/erdos_n3000_p0c0.9_19.graph
0.9,20,6,1.485310,new_3000_dataset/erdos_n3000_p0c0.9_20.graph
0.9,21,5,0.004912,new_3000_dataset/erdos_n3000_p0c0.9_21.graph
0.9,22,5,0.005428,new_3000_dataset/erdos_n3000_p0c0.9_22.graph
0.9,23,6,2.981582,new_3000_dataset/erdos_n3000_p0c0.9_23.graph
0.9,24,5,0.005080,new_3000_dataset/erdos_n3000_p0c0.9_24.graph
0.9,25,5,0.005551,new_3000_dataset/erdos_n3000_p0c0.9_25.graph
0.9,26,6,1.761421,new_3000_dataset/erdos_n3000_p0c0.9_26.graph
0.9,27,6,1.040724,new_3000_dataset/erdos_n3000_p0c0.9_27.graph
0.9,28,5,0.005805,new_3000_dataset/erdos_n3000_p0c0.9_28.graph
0.9,29,6,5.030402,new_3000_dataset/erdos_n3000_p0c0.9_29.graph
0.9,30,6,0.120969,new_3000_dataset/erdos_n3000_p0c0.9_30.graph
