densidad,idx,final_best,found_at,archivo
0.4,11,16,0.000476,new_1000_dataset/erdos_n1000_p0c0.4_11.graph
0.4,12,17,8.969489,new_1000_dataset/erdos_n1000_p0c0.4_12.graph
0.4,13,16,0.141471,new_1000_dataset/erdos_n1000_p0c0.4_13.graph
0.4,14,17,0.010836,new_1000_dataset/erdos_n1000_p0c0.4_14.graph
0.4,15,17,2.177887,new_1000_dataset/erdos_n1000_p0c0.4_15.graph
0.4,16,17,3.231748,new_1000_dataset/erdos_n1000_p0c0.4_16.graph
0.4,17,17,0.003155,new_1000_dataset/erdos_n1000_p0c0.4_17.graph
0.4,18,17,0.016917,new_1000_dataset/erdos_n1000_p0c0.4_18.graph
0.4,19,16,0.230614,new_1000_dataset/erdos_n1000_p0c0.4_19.graph
0.4,20,17,0.165524,new_1000_dataset/erdos_n1000_p0c0.4_20.graph
0.4,21,16,0.001456,new_1000_dataset/erdos_n1000_p0c0.4_21.graph
0.4,22,17,3.167002,new_1000_dataset/erdos_n1000_p0c0.4_22.graph
0.4,23,16,0.000597,new_1000_dataset/erdos_n1000_p0c0.4_23.graph
0.4,24,17,6.975702,new_1000_dataset/erdos_n1000_p0c0.4_24.graph
0.4,25,17,4.027413,new_1000_dataset/erdos_n1000_p0c0.4_25.graph
0.4,26,17,6.311382,new_1000_dataset/erdos_n1000_p0c0.4_26.graph
0.4,27,17,0.035881,new_1000_dataset/erdos_n1000_p0c0.4_27.graph
0.4,28,17,0.183048,new_1000_dataset/erdos_n1000_p0c0.4_28.graph
0.4,29,17,2.771901,new_1000_dataset/erdos_n1000_p0c0.4_29.graph
0.4,30,17,3.684088,new_1000_dataset/erdos_n1000_p0c0.4_30.graph
0.5,1,13,1.349369,new_1000_dataset/erdos_n1000_p0c0.5_1.graph
0.5,2,13,0.411812,new_1000_dataset/erdos_n1000_p0c0.5_2.graph
0.5,3,12,0.003335,new_1000_dataset/erdos_n1000_p0c0.5_3.graph
0.5,4,13,0.001054,new_1000_dataset/erdos_n1000_p0c0.5_4.graph
0.5,5,13,0.022135,new_1000_dataset/erdos_n1000_p0c0.5_5.graph
0.5,6,13,0.876793,new_1000_dataset/erdos_n1000_p0c0.5_6.graph
0.5,7,12,0.016694,new_1000_dataset/erdos_n1000_p0c0.5_7.graph
0.5,8,13,0.003120,new_1000_dataset/erdos_n1000_p0c0.5_8.graph
0.5,9,13,0.023339,new_1000_dataset/erdos_n1000_p0c0.5_9.graph
0.5,10,13,0.174090,new_1000_dataset/erdos_n1000_p0c0.5_10.graph
0.5,11,13,0.004109,new_1000_dataset/erdos_n1000_p0c0.5_11.graph
0.5,12,13,0.445014,new_1000_dataset/erdos_n1000_p0c0.5_12.graph
0.5,13,13,0.001175,new_1000_dataset/erdos_n1000_p0c0.5_13.graph
0.5,14,13,0.042858,new_1000_dataset/erdos_n1000_p0c0.5_14.graph
0.5,15,13,1.674927,new_1000_dataset/erdos_n1000_p0c0.5_15.graph
0.5,16,13,0.011923,new_1000_dataset/erdos_n1000_p0c0.5_16.graph
0.5,17,13,0.019155,new_1000_dataset/erdos_n1000_p0c0.5_17.graph
0.5,18,13,7.569657,new_1000_dataset/erdos_n1000_p0c0.5_18.graph
0.5,19,13,0.142305,new_1000_dataset/erdos_n1000_p0c0.5_19.graph
0.5,20,13,0.012061,new_1000_dataset/erdos_n1000_p0c0.5_20.graph
0.5,21,12,0.002838,new_1000_dataset/erdos_n1000_p0c0.5_21.graph
0.5,22,13,0.197406,new_1000_dataset/erdos_n1000_p0c0.5_22.graph
0.5,23,13,7.960617,new_1000_dataset/erdos_n1000_p0c0.5_23.graph
0.5,24,13,0.009676,new_1000_dataset/erdos_n1000_p0c0.5_24.graph
0.5,25,13,0.002440,new_1000_dataset/erdos_n1000_p0c0.5_25.graph
0.5,26,13,0.001768,new_1000_dataset/erdos_n1000_p0c0.5_26.graph
0.5,27,13,6.628723,new_1000_dataset/erdos_n1000_p0c0.5_27.graph
0.5,28,13,0.027350,new_1000_dataset/erdos_n1000_p0c0.5_28.graph
0.5,29,13,0.089063,new_1000_dataset/erdos_n1000_p0c0.5_29.graph
0.5,30,13,0.027013,new_1000_dataset/erdos_n1000_p0c0.5_30.graph
0.6,1,10,0.034775,new_1000_dataset/erdos_n1000_p0c0.6_1.graph
0.6,2,10,0.011189,new_1000_dataset/erdos_n1000_p0c0.6_2.graph
0.6,3,10,0.114127,new_1000_dataset/erdos_n1000_p0c0.6_3.graph
0.6,4,11,0.001836,new_1000_dataset/erdos_n1000_p0c0.6_4.graph
0.6,5,11,6.585310,new_1000_dataset/erdos_n1000_p0c0.6_5.graph
0.6,6,11,0.001202,new_1000_dataset/erdos_n1000_p0c0.6_6.graph
0.6,7,10,0.000534,new_1000_dataset/erdos_n1000_p0c0.6_7.graph
0.6,8,11,0.059124,new_1000_dataset/erdos_n1000_p0c0.6_8.graph
0.6,9,10,0.004701,new_1000_dataset/erdos_n1000_p0c0.6_9.graph
0.6,10,10,0.281252,new_1000_dataset/erdos_n1000_p0c0.6_10.graph
0.6,11,10,0.004561,new_1000_dataset/erdos_n1000_p0c0.6_11.graph
0.6,12,11,0.030330,new_1000_dataset/erdos_n1000_p0c0.6_12.graph
0.6,13,10,0.002971,new_1000_dataset/erdos_n1000_p0c0.6_13.graph
0.6,14,10,0.046698,new_1000_dataset/erdos_n1000_p0c0.6_14.graph
0.6,15,10,0.161659,new_1000_dataset/erdos_n1000_p0c0.6_15.graph
0.6,16,10,0.000607,new_1000_dataset/erdos_n1000_p0c0.6_16.graph
0.6,17,10,0.007619,new_1000_dataset/erdos_n1000_p0c0.6_17.graph
0.6,18,10,0.564795,new_1000_dataset/erdos_n1000_p0c0.6_18.graph
0.6,19,10,0.013872,new_1000_dataset/erdos_n1000_p0c0.6_19.graph
0.6,20,10,0.000650,new_1000_dataset/erdos_n1000_p0c0.6_20.graph
0.6,21,10,0.017090,new_1000_dataset/erdos_n1000_p0c0.6_21.graph
0.6,22,10,0.002558,new_1000_dataset/erdos_n1000_p0c0.6_22.graph
0.6,23,10,0.006622,new_1000_dataset/erdos_n1000_p0c0.6_23.graph
0.6,24,10,0.019355,new_1000_dataset/erdos_n1000_p0c0.6_24.graph
0.6,25,11,0.030686,new_1000_dataset/erdos_n1000_p0c0.6_25.graph
0.6,26,11,0.000674,new_1000_dataset/erdos_n1000_p0c0.6_26.graph
0.6,27,10,0.003903,new_1000_dataset/erdos_n1000_p0c0.6_27.graph
0.6,28,10,0.000630,new_1000_dataset/erdos_n1000_p0c0.6_28.graph
0.6,29,10,0.160771,new_1000_dataset/erdos_n1000_p0c0.6_29.graph
0.6,30,11,0.024942,new_1000_dataset/erdos_n1000_p0c0.6_30.graph
0.7,1,8,0.002906,new_1000_dataset/erdos_n1000_p0c0.7_1.graph
0.7,2,8,0.047047,new_1000_dataset/erdos_n1000_p0c0.7_2.graph
0.7,3,8,0.001610,new_1000_dataset/erdos_n1000_p0c0.7_3.graph
0.7,4,8,0.505268,new_1000_dataset/erdos_n1000_p0c0.7_4.graph
0.7,5,8,0.008366,new_1000_dataset/erdos_n1000_p0c0.7_5.graph
0.7,6,8,0.002718,new_1000_dataset/erdos_n1000_p0c0.7_6.graph
